matchday,position,team_name,playedGames
36,20,Parma Calcio 1913,36
37,1,FC Internazionale Milano,37
37,2,Atalanta BC,37
37,3,SSC Napoli,37
37,4,AC Milan,37
37,5,Juventus FC,37
37,6,SS Lazio,37
37,8,US Sassuolo Calcio,37
37,9,UC Sampdoria,37
37,11,Bologna FC 1909,37
37,12,Udinese Calcio,37
37,13,ACF Fiorentina,37
37,14,Genoa CFC,37
37,15,Spezia Calcio,37
37,16,Cagliari Calcio,37
37,17,Torino FC,37
37,18,Benevento Calcio,37
37,19,FC Crotone,37
37,20,Parma Calcio 1913,37
38,1,FC Internazionale Milano,38
38,2,AC Milan,38
38,3,Atalanta BC,38
38,4,Juventus FC,38
38,5,SSC Napoli,38
38,6,SS Lazio,38
38,8,US Sassuolo Calcio,38
38,9,UC Sampdoria,38
38,11,Genoa CFC,38
38,12,Bologna FC 1909,38
38,13,ACF Fiorentina,38
38,14,Udinese Calcio,38
38,15,Spezia Calcio,38
38,16,Cagliari Calcio,38
38,17,Torino FC,38
38,18,Benevento Calcio,38
38,19,FC Crotone,38
38,20,Parma Calcio 1913,38
