matchday,position,team_name,playedGames
37,12,Udinese Calcio,37
37,13,US Sassuolo Calcio,37
37,14,Empoli FC,37
37,15,US Salernitana 1919,37
37,16,US Lecce,37
37,17,Hellas Verona FC,37
37,18,Spezia Calcio,37
37,19,US Cremonese,37
37,20,UC Sampdoria,37
38,1,SSC Napoli,38
38,2,SS Lazio,38
38,3,FC Internazionale Milano,38
38,4,Juventus FC,38
38,5,AC Milan,38
38,6,Atalanta BC,38
38,7,AS Roma,38
38,8,ACF Fiorentina,38
38,9,Bologna FC 1909,38
38,10,Torino FC,38
38,11,AC Monza,38
38,12,Udinese Calcio,38
38,13,US Sassuolo Calcio,38
38,14,Empoli FC,38
38,15,US Salernitana 1919,38
38,16,US Lecce,38
38,17,Hellas Verona FC,38
38,18,Spezia Calcio,38
38,19,US Cremonese,38
38,20,UC Sampdoria,38
